min	03A	06A	13A	27A	33E	36B	46A	34A	39A	43A	29A	06B	07B	36A
145	0	0.00175	0	0.002	0	0.00175	0.0005	0	0.001	0.001	0.001	0	0	0
150	0	0.00175	0	0.0015	0	0.00175	0.0005	0	0.001	0.001	0.001	0	0	0
155	0	0.00175	0	0.0015	0	0.00175	0.0005	0	0.001	0.001	0.001	0	0	0
160	0	0.00175	0	0.002	0	0.00175	0.0005	0	0.0015	0.001	0.001	0	0	0
165	0	0.00175	0	0.002	0	0.00175	0.0005	0	0.002	0.001	0.001	0	0	0
170	0	0.00175	0.001	0.0025	0.000875	0.00175	0.0005	0	0.002	0.001	0.0015	0	0	0
175	0	0.00275	0.001	0.003	0.000875	0.00275	0.0005	0	0.002	0.001	0.0015	0	0	0
180	0.0005	0.00275	0.0015	0.003	0.000875	0.00275	0.0005	0	0.002	0.0015	0.0015	0	0	0
185	0.0005	0.00225	0.002	0.0035	0.000875	0.00275	0.0005	0	0.002	0.0015	0.0015	0	0	0
190	0.0005	0.00275	0.0015	0.003	0.000875	0.00275	0.0005	0	0.002	0.0015	0.0015	0	0	0
195	0.0005	0.00275	0.001	0.0035	0.000875	0.00275	0.0005	0	0.003	0.0015	0.0015	0	0	0
200	0.0005	0.00275	0.0025	0.0035	0.000875	0.00325	0.0005	0	0.003	0.002	0.0015	0	0	0
205	0.001	0.00275	0.002	0.0045	0.001375	0.00325	0.0005	0	0.003	0.002	0.0015	0	0	0
210	0.001	0.00275	0.0035	0.005	0.001875	0.00375	0.0005	0.000375	0.003	0.002	0.0015	0	0	0
215	0.001	0.00275	0.005	0.0045	0.001375	0.00375	0.0005	0.000375	0.0035	0.0025	0.0025	0	0	0
220	0.001	0.00325	0.004	0.0045	0.001875	0.00425	0.0005	0.000875	0.004	0.0025	0.0025	0	0	0
225	0.001	0.00325	0.0035	0.005	0.002375	0.00425	0.0005	0.000875	0.004	0.0025	0.0025	0	0	0
230	0.001	0.00375	0.0045	0.0065	0.001875	0.00425	0.0005	0.000875	0.004	0.0025	0.0025	0	0	0
235	0.0015	0.00375	0.005	0.0055	0.002375	0.00525	0.0005	0.000875	0.004	0.0025	0.0025	0	0	0
240	0.0015	0.00375	0.005	0.007	0.001875	0.00675	0.0005	0.001875	0.004	0.0025	0.0025	0	0	0
245	0.002	0.00375	0.0035	0.0065	0.001875	0.00525	0.0005	0.001375	0.005	0.0025	0.003	0	0	0
250	0.002	0.00375	0.006	0.0075	0.002875	0.00575	0.0005	0.000875	0.005	0.0035	0.003	0	0	0
255	0.002	0.00375	0.0035	0.0065	0.004375	0.00575	0.0005	0.001375	0.005	0.0035	0.003	0	0	0
260	0.002	0.00375	0.004	0.0075	0.002875	0.00675	0.001	0.002375	0.006	0.0035	0.0035	0	0	0
265	0.002	0.00375	0.004	0.009	0.003375	0.00725	0.001	0.002375	0.0055	0.0035	0.0035	0	0	0
270	0.002	0.00375	0.006	0.009	0.003875	0.00675	0.001	0.002875	0.006	0.0035	0.004	0	0	0
