"i","j","outcome","pdist","i_clade","j_clade","WB","RI","RNI","ASYM"
"17A","36B","36B",14.3,"Psyr","Pflu","B",0,0,1
"17A","33E","33E",14.3,"Psyr","Pflu","B",0,0,1
"17A","13A","13A",14.3,"Psyr","Pflu","B",0,0,1
"17A","03A","03A",14.3,"Psyr","Pflu","B",0,0,1
"17A","06A","06A",14.3,"Psyr","Pflu","B",0,0,1
"17A","46A","46A",14.5,"Psyr","Pflu","B",0,0,1
"24A","39C","24A",0,"Psyr","Psyr","W",0,0,1
"24A","16A","16A",0.4,"Psyr","Psyr","W",0,0,1
"24A","14B","14B",0.4,"Psyr","Psyr","W",0,0,1
"24A","46B","RNI",8.9,"Psyr","Psyr","W",0,1,0
"24A","02A","02A",8,"Psyr","Psyr","W",0,0,1
"24A","08A","08A",8,"Psyr","Psyr","W",0,0,1
"24A","06C","RNI",8,"Psyr","Psyr","W",0,1,0
"24A","4326","24A",8,"Psyr","Psyr","W",0,0,1
"24A","19A","19A",8.1,"Psyr","Psyr","W",0,0,1
"24A","07A","07A",9.7,"Psyr","Psyr","W",0,0,1
"24A","22D","22D",9.8,"Psyr","Psyr","W",0,0,1
"24A","22B","22B",9.8,"Psyr","Psyr","W",0,0,1
"24A","26B","RI",9.3,"Psyr","Psyr","W",1,0,0
"24A","22C","24A",13.8,"Psyr","Psyr","W",0,0,1
"24A","39F","24A",13.4,"Psyr","Psyr","W",0,0,1
"24A","08C","24A",13.7,"Psyr","Psyr","W",0,0,1
"24A","23A","24A",13.6,"Psyr","Psyr","W",0,0,1
"24A","24C","RI",13.7,"Psyr","Psyr","W",1,0,0
"24A","21A","24A",13.3,"Psyr","Psyr","W",0,0,1
"24A","20B","24A",13.3,"Psyr","Psyr","W",0,0,1
"24A","08B","08B",14.2,"Psyr","Psyr","W",0,0,1
"24A","06B","06B",14.8,"Psyr","Pflu","B",0,0,1
"24A","43A","43A",14.8,"Psyr","Pflu","B",0,0,1
"24A","39A","39A",14.3,"Psyr","Pflu","B",0,0,1
"24A","34A","34A",14.5,"Psyr","Pflu","B",0,0,1
"24A","27A","27A",14.4,"Psyr","Pflu","B",0,0,1
"24A","03A","03A",14.5,"Psyr","Pflu","B",0,0,1
"24A","06A","06A",14.5,"Psyr","Pflu","B",0,0,1
"39C","16A","16A",0.4,"Psyr","Psyr","W",0,0,1
"39C","14B","14B",0.4,"Psyr","Psyr","W",0,0,1
"39C","46B","39C",8.9,"Psyr","Psyr","W",0,0,1
"39C","02A","02A",8.1,"Psyr","Psyr","W",0,0,1
"39C","08A","08A",8.1,"Psyr","Psyr","W",0,0,1
"39C","06C","06C",8.1,"Psyr","Psyr","W",0,0,1
"39C","4326","39C",8.1,"Psyr","Psyr","W",0,0,1
"39C","19A","19A",8.1,"Psyr","Psyr","W",0,0,1
"39C","07A","07A",9.8,"Psyr","Psyr","W",0,0,1
"39C","22D","22D",9.9,"Psyr","Psyr","W",0,0,1
"39C","22B","39C",9.9,"Psyr","Psyr","W",0,0,1
"39C","26B","26B",9.4,"Psyr","Psyr","W",0,0,1
"39C","22C","22C",13.8,"Psyr","Psyr","W",0,0,1
