	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
24C	0.000035806	0.000182876	0.000178512	0.000114891	0.000383539	0.000063724	0.000082207	0.000114372	0.000108756	0.000456581	0.000303122	0.000383153	0.000345877	0.000069725	0.000204163	0.000345781	0.000336182	0.000397296	8.02E-05	NA	0.000183572	0.000111757	0	0.000143793	0.00012529	0.000949233	0.000476018	0.000472087	0.00061728	0.000343411	0.000498156	0.000572827	0.000431074	0.000282267	0.000270181	0.000271657	0.000301093	0.000368217	0.000368606	0.000775942
21A	0.000107987	0.000039083	0.000034719	2.89E-05	0.000239746	0.000080069	0.000061586	0.000029421	0.000035037	0.000312788	0.000159329	0.00023936	0.000202084	0.000213518	0.00006037	0.000201988	0.000192389	0.000253503	0.000224003	NA	0.000039779	0.00025555	0.000143793	0	0.000018503	0.00080544	0.000332225	0.000328294	0.000473487	0.000199618	0.000354363	0.000429034	0.000287281	0.000138474	0.000126388	0.000127864	0.0001573	0.000224424	0.000224813	0.000632149
20B	0.000089484	0.000057586	0.000053222	1.04E-05	0.000258249	0.000061566	0.000043083	0.000010918	0.000016534	0.000331291	0.000177832	0.000257863	0.000220587	0.000195015	0.000078873	0.000220491	0.000210892	0.000272006	0.0002055	NA	0.000058282	0.000237047	0.00012529	0.000018503	0	0.000823943	0.000350728	0.000346797	0.00049199	0.000218121	0.000372866	0.000447537	0.000305784	0.000156977	0.000144891	0.000146367	0.000175803	0.000242927	0.000243316	0.000650652
08B	0.000913427	0.000766357	0.000770721	0.000834342	0.000565694	0.000885509	0.000867026	0.000834861	0.000840477	0.000492652	0.000646111	0.00056608	0.000603356	0.001018958	0.00074507	0.000603452	0.000613051	0.000551937	0.001029443	NA	0.000765661	0.00106099	0.000949233	0.00080544	0.000823943	0	0.000473215	0.000477146	0.000331953	0.000605822	0.000451077	0.000376406	0.000518159	0.000666966	0.000679052	0.000677576	0.00064814	0.000581016	0.000580627	0.000173291
36A	0.000440212	0.000293142	0.000297506	0.000361127	9.25E-05	0.000412294	0.000393811	0.000361646	0.000367262	1.94E-05	0.000172896	0.000092865	0.000130141	0.000545743	0.000271855	0.000130237	0.000139836	7.87E-05	0.000556228	NA	0.000292446	0.000587775	0.000476018	0.000332225	0.000350728	0.000473215	0	3.93E-06	0.000141262	0.000132607	0.000022138	0.000096809	0.000044944	0.000193751	0.000205837	0.000204361	0.000174925	0.000107801	0.000107412	0.000299924
07B	0.000436281	0.000289211	0.000293575	0.000357196	8.85E-05	0.000408363	0.00038988	0.000357715	0.000363331	1.55E-05	0.000168965	0.000088934	0.00012621	0.000541812	0.000267924	0.000126306	0.000135905	7.48E-05	0.000552297	NA	0.000288515	0.000583844	0.000472087	0.000328294	0.000346797	0.000477146	3.93E-06	0	0.000145193	0.000128676	0.000026069	0.00010074	0.000041013	0.00018982	0.000201906	0.00020043	0.000170994	0.00010387	0.000103481	0.000303855
06B	0.000581474	0.000434404	0.000438768	0.000502389	0.000233741	0.000553556	0.000535073	0.000502908	0.000508524	0.000160699	0.000314158	0.000234127	0.000271403	0.000687005	0.000413117	0.000271499	0.000281098	0.000219984	0.00069749	NA	0.000433708	0.000729037	0.00061728	0.000473487	0.00049199	0.000331953	0.000141262	0.000145193	0	0.000273869	0.000119124	0.000044453	0.000186206	0.000335013	0.000347099	0.000345623	0.000316187	0.000249063	0.000248674	0.000158662
43A	0.000307605	0.000160535	0.000164899	0.00022852	4.01E-05	0.000279687	0.000261204	0.000229039	0.000234655	0.00011317	0.000040289	0.000039742	2.47E-06	0.000413136	0.000139248	2.37E-06	7.23E-06	5.39E-05	0.000423621	NA	0.000159839	0.000455168	0.000343411	0.000199618	0.000218121	0.000605822	0.000132607	0.000128676	0.000273869	0	0.000154745	0.000229416	0.000087663	0.000061144	0.00007323	0.000071754	0.000042318	0.000024806	0.000025195	0.000432531
29A	0.00046235	0.00031528	0.000319644	0.000383265	0.000114617	0.000434432	0.000415949	0.000383784	0.0003894	4.16E-05	0.000195034	0.000115003	0.000152279	0.000567881	0.000293993	0.000152375	0.000161974	0.00010086	0.000578366	NA	0.000314584	0.000609913	0.000498156	0.000354363	0.000372866	0.000451077	0.000022138	0.000026069	0.000119124	0.000154745	0	0.000074671	0.000067082	0.000215889	0.000227975	0.000226499	0.000197063	0.000129939	0.00012955	0.000277786
39A	0.000537021	0.000389951	0.000394315	0.000457936	0.000189288	0.000509103	0.00049062	0.000458455	0.000464071	0.000116246	0.000269705	0.000189674	0.00022695	0.000642552	0.000368664	0.000227046	0.000236645	0.000175531	0.000653037	NA	0.000389255	0.000684584	0.000572827	0.000429034	0.000447537	0.000376406	0.000096809	0.00010074	0.000044453	0.000229416	0.000074671	0	0.000141753	0.00029056	0.000302646	0.00030117	0.000271734	0.00020461	0.000204221	0.000203115
34A	0.000395268	0.000248198	0.000252562	0.000316183	4.75E-05	0.00036735	0.000348867	0.000316702	0.000322318	2.55E-05	0.000127952	0.000047921	8.52E-05	0.000500799	0.000226911	8.53E-05	9.49E-05	3.38E-05	0.000511284	NA	0.000247502	0.000542831	0.000431074	0.000287281	0.000305784	0.000518159	0.000044944	0.000041013	0.000186206	0.000087663	0.000067082	0.000141753	0	0.000148807	0.000160893	0.000159417	0.000129981	0.000062857	0.000062468	0.000344868
36B	0.000246461	0.000099391	0.000103755	0.000167376	0.000101272	0.000218543	0.00020006	0.000167895	0.000173511	0.000174314	0.000020855	0.000100886	6.36E-05	0.000351992	0.000078104	6.35E-05	5.39E-05	0.000115029	0.000362477	NA	0.000098695	0.000394024	0.000282267	0.000138474	0.000156977	0.000666966	0.000193751	0.00018982	0.000335013	0.000061144	0.000215889	0.00029056	0.000148807	0	0.000012086	0.00001061	0.000018826	0.00008595	8.63E-05	0.000493675
13A	0.000234375	0.000087305	0.000091669	0.00015529	0.000113358	0.000206457	0.000187974	0.000155809	0.000161425	0.0001864	0.000032941	0.000112972	7.57E-05	0.000339906	0.000066018	7.56E-05	6.60E-05	0.000127115	0.000350391	NA	0.000086609	0.000381938	0.000270181	0.000126388	0.000144891	0.000679052	0.000205837	0.000201906	0.000347099	0.00007323	0.000227975	0.000302646	0.000160893	0.000012086	0	1.48E-06	0.000030912	0.000098036	0.000098425	0.000505761
27A	0.000235851	0.000088781	0.000093145	0.000156766	0.000111882	0.000207933	0.00018945	0.000157285	0.000162901	0.000184924	0.000031465	0.000111496	7.42E-05	0.000341382	0.000067494	7.41E-05	6.45E-05	0.000125639	0.000351867	NA	0.000088085	0.000383414	0.000271657	0.000127864	0.000146367	0.000677576	0.000204361	0.00020043	0.000345623	0.000071754	0.000226499	0.00030117	0.000159417	0.00001061	1.48E-06	0	0.000029436	0.00009656	0.000096949	0.000504285
33E	0.000265287	0.000118217	0.000122581	0.000186202	8.24E-05	0.000237369	0.000218886	0.000186721	0.000192337	0.000155488	2.03E-06	0.00008206	4.48E-05	0.000370818	0.00009693	4.47E-05	3.51E-05	9.62E-05	0.000381303	NA	0.000117521	0.00041285	0.000301093	0.0001573	0.000175803	0.00064814	0.000174925	0.000170994	0.000316187	0.000042318	0.000197063	0.000271734	0.000129981	0.000018826	0.000030912	0.000029436	0	0.000067124	6.75E-05	0.000474849
03A	0.000332411	0.000185341	0.000189705	0.000253326	1.53E-05	0.000304493	0.00028601	0.000253845	0.000259461	8.84E-05	0.000065095	0.000014936	2.23E-05	0.000437942	0.000164054	2.24E-05	3.20E-05	2.91E-05	0.000448427	NA	0.000184645	0.000479974	0.000368217	0.000224424	0.000242927	0.000581016	0.000107801	0.00010387	0.000249063	0.000024806	0.000129939	0.00020461	0.000062857	0.00008595	0.000098036	0.00009656	0.000067124	0	3.89E-07	0.000407725
06A	0.0003328	0.00018573	0.000190094	0.000253715	1.49E-05	0.000304882	0.000286399	0.000254234	0.00025985	8.80E-05	0.000065484	0.000014547	2.27E-05	0.000438331	0.000164443	2.28E-05	3.24E-05	2.87E-05	0.000448816	NA	0.000185034	0.000480363	0.000368606	0.000224813	0.000243316	0.000580627	0.000107412	0.000103481	0.000248674	0.000025195	0.00012955	0.000204221	0.000062468	8.63E-05	0.000098425	0.000096949	6.75E-05	3.89E-07	0	0.000407336
46A	0.000740136	0.000593066	0.00059743	0.000661051	0.000392403	0.000712218	0.000693735	0.00066157	0.000667186	0.000319361	0.00047282	0.000392789	0.000430065	0.000845667	0.000571779	0.000430161	0.00043976	0.000378646	0.000856152	NA	0.00059237	0.000887699	0.000775942	0.000632149	0.000650652	0.000173291	0.000299924	0.000303855	0.000158662	0.000432531	0.000277786	0.000203115	0.000344868	0.000493675	0.000505761	0.000504285	0.000474849	0.000407725	0.000407336	0
