	i	j	outcome	dist	i.clade	j.clade	WB	RI	RNI	ASYM
293	46B	08B	08B	84.4	Psyr	Psyr	W	0	0	1
294	46B	36A	RI	84.6	Psyr	Pflu	B	1	0	0
295	46B	06B	RI	84.6	Psyr	Pflu	B	1	0	0
296	46B	07B	07B	84.6	Psyr	Pflu	B	0	0	1
297	46B	43A	43A	84.3	Psyr	Pflu	B	0	0	1
298	46B	29A	RI	84.2	Psyr	Pflu	B	1	0	0
299	46B	39A	39A	84.8	Psyr	Pflu	B	0	0	1
300	46B	34A	34A	85.1	Psyr	Pflu	B	0	0	1
301	46B	27A	RNI	85	Psyr	Pflu	B	0	1	0
302	46B	36B	RI	85	Psyr	Pflu	B	1	0	0
303	46B	33E	RI	85	Psyr	Pflu	B	1	0	0
304	46B	13A	13A	85	Psyr	Pflu	B	0	0	1
305	46B	03A	03A	84.9	Psyr	Pflu	B	0	0	1
306	46B	06A	46B	84.9	Psyr	Pflu	B	0	0	1
307	46B	46A	RI	85	Psyr	Pflu	B	1	0	0
308	02A	08A	02A	100	Psyr	Psyr	W	0	0	1
309	02A	06C	02A	100	Psyr	Psyr	W	0	0	1
310	02A	4326	02A	100	Psyr	Psyr	W	0	0	1
311	02A	19A	RNI	99.5	Psyr	Psyr	W	0	1	0
312	02A	07A	RNI	89.7	Psyr	Psyr	W	0	1	0
313	02A	22D	RNI	89.7	Psyr	Psyr	W	0	1	0
314	02A	22B	22B	89.7	Psyr	Psyr	W	0	0	1
315	02A	26B	26B	89.7	Psyr	Psyr	W	0	0	1
316	02A	22C	02A	86.4	Psyr	Psyr	W	0	0	1
317	02A	39F	02A	85.9	Psyr	Psyr	W	0	0	1
318	02A	08C	02A	86.2	Psyr	Psyr	W	0	0	1
319	02A	23A	02A	86.4	Psyr	Psyr	W	0	0	1
320	02A	24C	02A	87.4	Psyr	Psyr	W	0	0	1
321	02A	21A	02A	86.7	Psyr	Psyr	W	0	0	1
322	02A	20B	02A	86.7	Psyr	Psyr	W	0	0	1
323	02A	08B	08B	84.6	Psyr	Psyr	W	0	0	1
324	02A	36A	36A	85	Psyr	Pflu	B	0	0	1
325	02A	06B	06B	85	Psyr	Pflu	B	0	0	1
326	02A	07B	07B	85	Psyr	Pflu	B	0	0	1
327	02A	43A	43A	85	Psyr	Pflu	B	0	0	1
328	02A	29A	29A	84.9	Psyr	Pflu	B	0	0	1
329	02A	39A	39A	85.7	Psyr	Pflu	B	0	0	1
330	02A	34A	34A	85.1	Psyr	Pflu	B	0	0	1
331	02A	27A	27A	85.6	Psyr	Pflu	B	0	0	1
332	02A	36B	36B	85.6	Psyr	Pflu	B	0	0	1
333	02A	33E	33E	85.6	Psyr	Pflu	B	0	0	1
334	02A	13A	13A	85.6	Psyr	Pflu	B	0	0	1
335	02A	03A	03A	85.5	Psyr	Pflu	B	0	0	1
