	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
21A	528.55332	626.9084676	58.39519185	352.1458674	585.7099143	291.6783219	219.4624334	130.5324208	942.9979355	1665.835983	341.8139148	647.2156986	1483.462667	1063.030092	938.8314326	1219.492869	1008.651946	1131.985417	1532.968887	NA	580.2300376	1472.203393	323.2529529	0	703.0371527	8.917342975	1221.374794	1009.432086	1114.046085	1551.853971	1429.931093	1569.927217	1526.752348	1665.464916	1668.943793	1690.254062	1613.18948	1551.318135	1570.678207	1316.010186
20B	174.4838327	76.12868507	644.6419608	1055.18302	117.3272384	411.3588307	483.5747192	572.5047318	239.9607828	962.7988301	1044.851067	55.8214541	780.425514	359.9929389	235.7942799	516.455716	305.6147931	428.9482643	829.9317344	NA	1283.26719	769.16624	1026.290106	703.0371527	0	694.1198097	518.3376414	306.394933	411.008932	848.816818	726.89394	866.8900645	823.7151952	962.4277636	965.9066401	987.2169093	910.1523275	848.2809827	867.641054	612.9730331
08B	519.635977	617.9911246	49.47784888	361.0632104	576.7925713	282.760979	210.5450905	121.6150779	934.0805925	1656.91864	350.7312578	638.2983556	1474.545324	1054.112749	929.9140896	1210.575526	999.7346028	1123.068074	1524.051544	NA	589.1473806	1463.28605	332.1702959	8.917342975	694.1198097	0	1212.457451	1000.514743	1105.128742	1542.936628	1421.01375	1561.009874	1517.835005	1656.547573	1660.02645	1681.336719	1604.272137	1542.400792	1561.760864	1307.092843
36A	692.8214741	594.4663265	1162.979602	1573.520662	635.6648798	929.6964722	1001.912361	1090.842373	278.3768586	444.4611887	1563.188709	574.1590955	262.0878725	158.3447025	282.5433615	1.881925439	212.7228483	89.38937714	311.594093	NA	1801.604832	250.8285986	1544.627747	1221.374794	518.3376414	1212.457451	0	211.9427084	107.3287094	330.4791766	208.5562986	348.5524231	305.3775538	444.0901222	447.5689987	468.8792679	391.8146861	329.9433413	349.3034126	94.6353917
07B	480.8787657	382.5236181	951.0368939	1361.577953	423.7221714	717.7537638	789.9696523	878.8996649	66.43415024	656.4038971	1351.246001	362.2163871	474.0305809	53.59800591	70.60065315	210.060783	0.780139939	122.5533313	523.5368014	NA	1589.662123	462.771307	1332.685039	1009.432086	306.394933	1000.514743	211.9427084	0	104.613999	542.421885	420.499007	560.4951315	517.3202622	656.0328306	659.5117071	680.8219763	603.7573945	541.8860497	561.246121	306.5781001
06B	585.4927647	487.1376171	1055.650893	1466.191952	528.3361704	822.3677628	894.5836513	983.5136639	171.0481492	551.7898981	1455.86	466.8303861	369.4165819	51.01599309	175.2146521	105.446784	105.3941389	17.93933226	418.9228024	NA	1694.276122	358.157308	1437.299038	1114.046085	411.008932	1105.128742	107.3287094	104.613999	0	437.807886	315.885008	455.8811325	412.7062632	551.4188316	554.8977081	576.2079773	499.1433955	437.2720507	456.632122	201.9641011
43A	1023.300651	924.9455031	1493.458779	1903.999838	966.1440564	1260.175649	1332.391537	1421.32155	608.8560352	113.9820121	1893.667886	904.6382721	68.39130407	488.8238791	613.0225381	332.361102	543.2020249	419.8685537	18.88508364	NA	2132.084008	79.650578	1875.106924	1551.853971	848.816818	1542.936628	330.4791766	542.421885	437.807886	0	121.922878	18.0732465	25.1016228	113.6109456	117.0898221	138.4000913	61.3355095	0.5358353	18.824236	235.8437849
29A	901.3777727	803.0226251	1371.535901	1782.07696	844.2211784	1138.252771	1210.468659	1299.398672	486.9331572	235.9048901	1771.745008	782.7153941	53.53157393	366.9010011	491.0996601	210.438224	421.2791469	297.9456757	103.0377944	NA	2010.16113	42.2723	1753.184046	1429.931093	726.89394	1421.01375	208.5562986	420.499007	315.885008	121.922878	0	139.9961245	96.8212552	235.5338236	239.0127001	260.3229693	183.2583875	121.3870427	140.747114	113.9209069
39A	1041.373897	943.0187496	1511.532025	1922.073085	984.2173029	1278.248895	1350.464784	1439.394796	626.9292817	95.90876559	1911.741132	922.7115186	86.46455057	506.8971256	631.0957846	350.4343485	561.2752714	437.9418002	36.95833014	NA	2150.157255	97.7238245	1893.18017	1569.927217	866.8900645	1561.009874	348.5524231	560.4951315	455.8811325	18.0732465	139.9961245	0	43.1748693	95.5376991	99.0165756	120.3268448	43.262263	18.6090818	0.7509895	253.9170314
34A	998.1990279	899.8438803	1468.357156	1878.898215	941.0424336	1235.074026	1307.289914	1396.219927	583.7544124	139.0836349	1868.566263	879.5366493	43.28968127	463.7222563	587.9209153	307.2594792	518.1004021	394.7669309	6.216539164	NA	2106.982386	54.5489552	1850.005301	1526.752348	823.7151952	1517.835005	305.3775538	517.3202622	412.7062632	25.1016228	96.8212552	43.1748693	0	138.7125684	142.1914449	163.5017141	86.4371323	24.5657875	43.9258588	210.7421621
36B	1136.911596	1038.556449	1607.069724	2017.610784	1079.755002	1373.786594	1446.002483	1534.932495	722.4669808	0.371066491	2007.278831	1018.249218	182.0022497	602.4348247	726.6334837	445.9720476	656.8129705	533.4794993	132.4960292	NA	2245.694954	193.2615236	1988.717869	1665.464916	962.4277636	1656.547573	444.0901222	656.0328306	551.4188316	113.6109456	235.5338236	95.5376991	138.7125684	0	3.4788765	24.7891457	52.2754361	114.1467809	94.7867096	349.4547305
13A	1140.390473	1042.035325	1610.548601	2021.08966	1083.233879	1377.265471	1449.481359	1538.411372	725.9458573	3.107810009	2010.757708	1021.728094	185.4811262	605.9137012	730.1123602	449.4509241	660.291847	536.9583758	135.9749057	NA	2249.17383	196.7404001	1992.196746	1668.943793	965.9066401	1660.02645	447.5689987	659.5117071	554.8977081	117.0898221	239.0127001	99.0165756	142.1914449	3.4788765	0	21.3102692	55.7543126	117.6256574	98.2655861	352.933607
27A	1161.700742	1063.345594	1631.85887	2042.399929	1104.544148	1398.57574	1470.791629	1559.721641	747.2561265	24.41807921	2032.067977	1043.038363	206.7913954	627.2239704	751.4226294	470.7611933	681.6021162	558.268645	157.2851749	NA	2270.4841	218.0506693	2013.507015	1690.254062	987.2169093	1681.336719	468.8792679	680.8219763	576.2079773	138.4000913	260.3229693	120.3268448	163.5017141	24.7891457	21.3102692	0	77.0645818	138.9359266	119.5758553	374.2438762
33E	1084.63616	986.2810126	1554.794288	1965.335348	1027.479566	1321.511158	1393.727047	1482.657059	670.1915447	52.64650259	1955.003395	965.9737816	129.7268136	550.1593886	674.3580476	393.6966115	604.5375344	481.2040632	80.22059314	NA	2193.419518	140.9860875	1936.442433	1613.18948	910.1523275	1604.272137	391.8146861	603.7573945	499.1433955	61.3355095	183.2583875	43.262263	86.4371323	52.2754361	55.7543126	77.0645818	0	61.8713448	42.5112735	297.1792944
03A	1022.764815	924.4096678	1492.922944	1903.464003	965.6082211	1259.639813	1331.855702	1420.785715	608.3201999	114.5178474	1893.13205	904.1024368	67.85546877	488.2880438	612.4867028	331.8252667	542.6661896	419.3327184	18.34924834	NA	2131.548173	79.1147427	1874.571088	1551.318135	848.2809827	1542.400792	329.9433413	541.8860497	437.2720507	0.5358353	121.3870427	18.6090818	24.5657875	114.1467809	117.6256574	138.9359266	61.8713448	0	19.3600713	235.3079496
06A	1042.124887	943.7697391	1512.283015	1922.824074	984.9682924	1278.999885	1351.215773	1440.145786	627.6802712	95.15777609	1912.492122	923.4625081	87.21554007	507.6481151	631.8467741	351.185338	562.0262609	438.6927897	37.70931964	NA	2150.908244	98.474814	1893.93116	1570.678207	867.641054	1561.760864	349.3034126	561.246121	456.632122	18.824236	140.747114	0.7509895	43.9258588	94.7867096	98.2655861	119.5758553	42.5112735	19.3600713	0	254.6680209
46A	787.4568658	689.1017182	1257.614994	1668.156053	730.3002715	1024.331864	1096.547752	1185.477765	373.0122503	349.825797	1657.824101	668.7944872	167.4524808	252.9800942	377.1787532	96.51731714	307.35824	184.0247688	216.9587013	NA	1896.240223	156.1932069	1639.263139	1316.010186	612.9730331	1307.092843	94.6353917	306.5781001	201.9641011	235.8437849	113.9209069	253.9170314	210.7421621	349.4547305	352.933607	374.2438762	297.1792944	235.3079496	254.6680209	0
