	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
29A	0.684	0.689	0.791	0.689	0.573	0.676	0.560	0.509	0.817	0.663	0.548	0.407	0.509	0.663	0.471	0.483	0.599	0.419	0.663	0.650	0.624	0.663	0.624	0.599	0.650	0.189	0.132	0.211	0.189	0.004	0.000	0.081	0.004	0.026	0.026	0.042	0.026	0.073	0.004	0.171
39A	0.765	0.769	0.872	0.769	0.654	0.756	0.641	0.590	0.897	0.744	0.628	0.487	0.590	0.744	0.551	0.564	0.679	0.500	0.744	0.731	0.705	0.744	0.705	0.679	0.731	0.269	0.212	0.291	0.269	0.077	0.081	0.000	0.077	0.054	0.054	0.038	0.054	0.154	0.077	0.252
34A	0.688	0.692	0.795	0.692	0.577	0.679	0.564	0.513	0.821	0.667	0.551	0.410	0.513	0.667	0.474	0.487	0.603	0.423	0.667	0.654	0.628	0.667	0.628	0.603	0.654	0.192	0.135	0.214	0.192	0.000	0.004	0.077	0.000	0.023	0.023	0.038	0.023	0.077	0.000	0.175
36B	0.711	0.715	0.817	0.715	0.600	0.702	0.587	0.535	0.843	0.689	0.574	0.433	0.535	0.689	0.497	0.510	0.625	0.446	0.689	0.676	0.651	0.689	0.651	0.625	0.676	0.215	0.158	0.237	0.215	0.023	0.026	0.054	0.023	0.000	0.000	0.016	0.000	0.100	0.023	0.197
13A	0.711	0.715	0.817	0.715	0.600	0.702	0.587	0.535	0.843	0.689	0.574	0.433	0.535	0.689	0.497	0.510	0.625	0.446	0.689	0.676	0.651	0.689	0.651	0.625	0.676	0.215	0.158	0.237	0.215	0.023	0.026	0.054	0.023	0.000	0.000	0.016	0.000	0.100	0.023	0.197
27A	0.726	0.731	0.833	0.731	0.615	0.718	0.603	0.551	0.859	0.705	0.590	0.449	0.551	0.705	0.513	0.526	0.641	0.462	0.705	0.692	0.667	0.705	0.667	0.641	0.692	0.231	0.174	0.253	0.231	0.038	0.042	0.038	0.038	0.016	0.016	0.000	0.016	0.115	0.038	0.213
33E	0.711	0.715	0.817	0.715	0.600	0.702	0.587	0.535	0.843	0.689	0.574	0.433	0.535	0.689	0.497	0.510	0.625	0.446	0.689	0.676	0.651	0.689	0.651	0.625	0.676	0.215	0.158	0.237	0.215	0.023	0.026	0.054	0.023	0.000	0.000	0.016	0.000	0.100	0.023	0.197
03A	0.611	0.615	0.718	0.615	0.500	0.603	0.487	0.436	0.744	0.590	0.474	0.333	0.436	0.590	0.397	0.410	0.526	0.346	0.590	0.577	0.551	0.590	0.551	0.526	0.577	0.115	0.058	0.137	0.115	0.077	0.073	0.154	0.077	0.100	0.100	0.115	0.100	0.000	0.077	0.098
06A	0.688	0.692	0.795	0.692	0.577	0.679	0.564	0.513	0.821	0.667	0.551	0.410	0.513	0.667	0.474	0.487	0.603	0.423	0.667	0.654	0.628	0.667	0.628	0.603	0.654	0.192	0.135	0.214	0.192	0.000	0.004	0.077	0.000	0.023	0.023	0.038	0.023	0.077	0.000	0.175
46A	0.513	0.518	0.620	0.518	0.402	0.505	0.389	0.338	0.646	0.492	0.377	0.235	0.338	0.492	0.300	0.312	0.428	0.248	0.492	0.479	0.453	0.492	0.453	0.428	0.479	0.018	0.039	0.039	0.018	0.175	0.171	0.252	0.175	0.197	0.197	0.213	0.197	0.098	0.175	0.000
