	10A	21B	20A	17A	24A	39C	14B	16A	46B	19A	06C	02A	08A	4326	22D	07A	22B	26B	39F	22C	08C	23A	24C	21A	20B	08B	36A	07B	06B	43A	29A	39A	34A	36B	13A	27A	33E	03A	06A	46A
21A	0.152698269	0.193356992	0.183194169	0.116600291	0.312680533	0.315665289	0.181904708	0.158994837	0.053123129	0.025285102	0.048428991	0.041174165	0.035690982	0.24780234	0.036902461	0.004573431	0.017815414	0.078083535	0.360531247	NA	0.080802912	0.366626047	0.050534348	0	0.01267314	0.255892317	0.088749254	0.053520063	0.153831362	0.086107767	0.170020794	0.110650072	0.008676012	0.113575428	0.104261928	0.119425495	0.153160934	0.13231262	0.143725276	0.037505938
20B	0.140025128	0.180683851	0.170521028	0.129273432	0.300007392	0.302992149	0.169231567	0.146321697	0.065796269	0.037958242	0.035755851	0.028501025	0.023017841	0.26047548	0.049575601	0.017246572	0.005142273	0.065410394	0.373204388	NA	0.093476052	0.379299187	0.037861207	0.01267314	0	0.243219177	0.076076113	0.040846922	0.141158221	0.073434626	0.157347653	0.097976931	0.021349153	0.100902287	0.091588787	0.106752354	0.140487793	0.119639479	0.131052135	0.050179079
08B	0.103194048	0.062535325	0.072698148	0.372492608	0.056788216	0.059772972	0.073987609	0.09689748	0.309015446	0.281177419	0.207463326	0.214718152	0.220201336	0.503694657	0.292794778	0.260465748	0.238076904	0.177808782	0.616423564	NA	0.336695229	0.622518364	0.205357969	0.255892317	0.243219177	0	0.167143063	0.202372254	0.102060955	0.16978455	0.085871523	0.145242245	0.264568329	0.142316889	0.151630389	0.136466822	0.102731383	0.123579697	0.112167041	0.293398255
36A	0.063949015	0.104607738	0.094444915	0.205349545	0.223931279	0.226916035	0.093155454	0.070245584	0.141872383	0.114034355	0.040320263	0.047575089	0.053058272	0.336551594	0.125651715	0.093322685	0.07093384	0.010665719	0.449280501	NA	0.169552165	0.455375301	0.038214906	0.088749254	0.076076113	0.167143063	0	0.035229191	0.065082108	0.002641487	0.08127154	0.021900818	0.097425266	0.024826174	0.015512674	0.030676241	0.06441168	0.043563366	0.054976022	0.126255192
07B	0.099178206	0.139836929	0.129674106	0.170120354	0.25916047	0.262145226	0.128384645	0.105474775	0.106643192	0.078805164	0.005091072	0.012345898	0.017829081	0.301322403	0.090422524	0.058093494	0.035704649	0.024563472	0.41405131	NA	0.134322974	0.42014611	0.002985715	0.053520063	0.040846922	0.202372254	0.035229191	0	0.100311299	0.032587704	0.116500731	0.057130009	0.062196075	0.060055365	0.050741865	0.065905432	0.099640871	0.078792557	0.090205213	0.091026001
06B	0.001133093	0.03952563	0.029362807	0.270431653	0.158849171	0.161833927	0.028073346	0.005163476	0.206954491	0.179116463	0.105402371	0.112657197	0.11814038	0.401633702	0.190733823	0.158404793	0.136015948	0.075747827	0.514362609	NA	0.234634273	0.520457409	0.103297014	0.153831362	0.141158221	0.102060955	0.065082108	0.100311299	0	0.067723595	0.016189432	0.04318129	0.162507374	0.040255934	0.049569434	0.034405867	0.000670428	0.021518742	0.010106086	0.1913373
43A	0.066590502	0.107249225	0.097086402	0.202708058	0.226572766	0.229557522	0.095796941	0.072887071	0.139230896	0.111392868	0.037678776	0.044933602	0.050416785	0.333910107	0.123010228	0.090681198	0.068292353	0.008024232	0.446639014	NA	0.166910678	0.452733814	0.035573419	0.086107767	0.073434626	0.16978455	0.002641487	0.032587704	0.067723595	0	0.083913027	0.024542305	0.094783779	0.027467661	0.018154161	0.033317728	0.067053167	0.046204853	0.057617509	0.123613705
29A	0.017322525	0.023336198	0.013173375	0.286621085	0.142659739	0.145644495	0.011883914	0.011025956	0.223143923	0.195305895	0.121591803	0.128846629	0.134329812	0.417823134	0.206923255	0.174594225	0.15220538	0.091937259	0.530552041	NA	0.250823705	0.536646841	0.119486446	0.170020794	0.157347653	0.085871523	0.08127154	0.116500731	0.016189432	0.083913027	0	0.059370722	0.178696806	0.056445366	0.065758866	0.050595299	0.01685986	0.037708174	0.026295518	0.207526732
39A	0.042048197	0.08270692	0.072544097	0.227250363	0.202030461	0.205015217	0.071254636	0.048344766	0.163773201	0.135935173	0.062221081	0.069475907	0.07495909	0.358452412	0.147552533	0.115223503	0.092834658	0.032566537	0.471181319	NA	0.191452983	0.477276119	0.060115724	0.110650072	0.097976931	0.145242245	0.021900818	0.057130009	0.04318129	0.024542305	0.059370722	0	0.119326084	0.002925356	0.006388144	0.008775423	0.042510862	0.021662548	0.033075204	0.14815601
34A	0.161374281	0.202033004	0.191870181	0.107924279	0.321356545	0.324341301	0.19058072	0.16767085	0.044447117	0.016609089	0.057105003	0.049850177	0.044366994	0.239126328	0.028226449	0.004102581	0.026491426	0.086759547	0.351855235	NA	0.072126899	0.357950035	0.05921036	0.008676012	0.021349153	0.264568329	0.097425266	0.062196075	0.162507374	0.094783779	0.178696806	0.119326084	0	0.12225144	0.11293794	0.128101507	0.161836946	0.140988632	0.152401288	0.028829926
36B	0.039122841	0.079781564	0.069618741	0.230175719	0.199105105	0.202089861	0.06832928	0.04541941	0.166698557	0.138860529	0.065146437	0.072401263	0.077884446	0.361377768	0.150477889	0.118148859	0.095760014	0.035491893	0.474106675	NA	0.194378339	0.480201475	0.06304108	0.113575428	0.100902287	0.142316889	0.024826174	0.060055365	0.040255934	0.027467661	0.056445366	0.002925356	0.12225144	0	0.0093135	0.005850067	0.039585506	0.018737192	0.030149848	0.151081366
13A	0.048436341	0.089095064	0.078932241	0.220862219	0.208418605	0.211403361	0.07764278	0.05473291	0.157385057	0.129547029	0.055832937	0.063087763	0.068570946	0.352064268	0.141164389	0.108835359	0.086446514	0.026178393	0.464793175	NA	0.185064839	0.470887975	0.05372758	0.104261928	0.091588787	0.151630389	0.015512674	0.050741865	0.049569434	0.018154161	0.065758866	0.006388144	0.11293794	0.0093135	0	0.015163567	0.048899006	0.028050692	0.039463348	0.141767866
27A	0.033272774	0.073931497	0.063768674	0.236025786	0.193255038	0.196239794	0.062479213	0.039569343	0.172548624	0.144710596	0.070996504	0.07825133	0.083734513	0.367227835	0.156327956	0.123998926	0.101610081	0.04134196	0.479956742	NA	0.200228406	0.486051542	0.068891147	0.119425495	0.106752354	0.136466822	0.030676241	0.065905432	0.034405867	0.033317728	0.050595299	0.008775423	0.128101507	0.005850067	0.015163567	0	0.033735439	0.012887125	0.024299781	0.156931433
33E	0.000462665	0.040196058	0.030033235	0.269761225	0.159519599	0.162504355	0.028743774	0.005833904	0.206284063	0.178446035	0.104731943	0.111986769	0.117469952	0.400963274	0.190063395	0.157734365	0.13534552	0.075077399	0.513692181	NA	0.233963845	0.519786981	0.102626586	0.153160934	0.140487793	0.102731383	0.06441168	0.099640871	0.000670428	0.067053167	0.01685986	0.042510862	0.161836946	0.039585506	0.048899006	0.033735439	0	0.020848314	0.009435658	0.190666872
03A	0.020385649	0.061044372	0.050881549	0.248912911	0.180367913	0.183352669	0.049592088	0.026682218	0.185435749	0.157597721	0.083883629	0.091138455	0.096621638	0.38011496	0.169215081	0.136886051	0.114497206	0.054229085	0.492843867	NA	0.213115531	0.498938667	0.081778272	0.13231262	0.119639479	0.123579697	0.043563366	0.078792557	0.021518742	0.046204853	0.037708174	0.021662548	0.140988632	0.018737192	0.028050692	0.012887125	0.020848314	0	0.011412656	0.169818558
06A	0.008972993	0.049631716	0.039468893	0.260325567	0.168955257	0.171940013	0.038179432	0.015269562	0.196848405	0.169010377	0.095296285	0.102551111	0.108034294	0.391527616	0.180627737	0.148298707	0.125909862	0.065641741	0.504256523	NA	0.224528187	0.510351323	0.093190928	0.143725276	0.131052135	0.112167041	0.054976022	0.090205213	0.010106086	0.057617509	0.026295518	0.033075204	0.152401288	0.030149848	0.039463348	0.024299781	0.009435658	0.011412656	0	0.181231214
46A	0.190204207	0.23086293	0.220700107	0.079094353	0.350186471	0.353171227	0.219410646	0.196500776	0.015617191	0.012220837	0.085934929	0.078680103	0.07319692	0.210296402	0.000603477	0.032932507	0.055321352	0.115589473	0.323025309	NA	0.043296973	0.329120109	0.088040286	0.037505938	0.050179079	0.293398255	0.126255192	0.091026001	0.1913373	0.123613705	0.207526732	0.14815601	0.028829926	0.151081366	0.141767866	0.156931433	0.190666872	0.169818558	0.181231214	0
