	10A	20A	21B	17A	24A	39C	16A	14B	46B	02A	08A	06C	4326	19A	07A	22D	22B	26B	22C	39F	08C	23A	24C	21A	20B	08B	36A	06B	07B	43A	29A	39A	34A	27A	36B	33E	13A	03A	06A	46A
21A	274.0336055	101.5183321	330.9782881	387.0775536	294.8548019	178.2680238	104.2666814	193.5657912	121.6076457	450.6331127	357.8905789	365.1198457	299.3714474	300.0781962	208.2847628	98.53919236	195.4385574	386.4432455	NA	544.2231091	377.5770806	532.9804739	145.5704095	0	67.43105759	760.7121093	377.792985	497.9963279	213.8886746	345.597264	547.3946489	532.9446709	248.6297424	475.8549949	422.7941429	478.1654659	394.9231955	484.0231189	517.1621879	201.2468286
20B	206.6025479	34.08727453	263.5472305	454.5086112	227.4237443	110.8369662	36.83562382	126.1347336	54.17658816	383.2020551	290.4595213	297.6887881	366.802505	232.6471386	140.8537052	31.10813477	128.0074998	319.012188	NA	611.6541666	445.0081382	600.4115315	213.0014671	67.43105759	0	693.2810517	310.3619275	430.5652704	146.4576171	278.1662065	479.9635914	465.5136134	181.1986849	408.4239374	355.3630854	410.7344084	327.492138	416.5920614	449.7311304	133.8157711
08B	486.6785039	659.1937772	429.7338213	1147.789663	465.8573074	582.4440855	656.4454279	567.1463182	639.1044636	310.0789967	402.8215304	395.5922636	1060.083557	460.6339132	552.4273465	662.172917	565.2735519	374.2688638	NA	1304.935218	1138.28919	1293.692583	906.2825188	760.7121093	693.2810517	0	382.9191243	262.7157814	546.8234347	415.1148453	213.3174604	227.7674384	512.0823669	284.8571144	337.9179664	282.5466434	365.7889138	276.6889904	243.5499214	559.4652807
36A	103.7593796	276.2746529	46.81469698	764.8705387	82.93818314	199.5249613	273.5263036	184.2271939	256.1853393	72.84012762	19.90240617	12.67313933	677.1644324	77.71478888	169.5082222	279.2537927	182.3544277	8.650260503	NA	922.0160941	755.3700657	910.7734589	523.3633945	377.792985	310.3619275	382.9191243	0	120.2033429	163.9043104	32.195721	169.6016639	155.1516859	129.1632426	98.0620099	45.0011579	100.3724809	17.1302105	106.2301339	139.3692029	176.5461564
06B	223.9627225	396.4779958	167.0180399	885.0738816	203.141526	319.7283042	393.7296465	304.4305368	376.3886822	47.36321528	140.1057491	132.8764822	797.3677753	197.9181318	289.7115651	399.4571356	302.5577706	111.5530824	NA	1042.219437	875.5734086	1030.976802	643.5667374	497.9963279	430.5652704	262.7157814	120.2033429	0	284.1076533	152.3990639	49.398321	34.948343	249.3665855	22.141333	75.202185	19.830862	103.0731324	13.973209	19.16586	296.7494993
07B	60.14493081	112.3703425	117.0896134	600.9662283	80.96612726	35.62065086	109.6219932	20.32288347	92.2810289	236.744438	144.0019042	151.2311711	513.260122	86.18952152	5.603911846	115.3494823	18.45011725	172.5545709	NA	758.1117837	591.4657553	746.8691485	359.4590841	213.8886746	146.4576171	546.8234347	163.9043104	284.1076533	0	131.7085894	333.5059743	319.0559963	34.7410678	261.9663203	208.9054683	264.2767913	181.0345209	270.1344443	303.2735133	12.641846
43A	71.56365859	244.0789319	14.61897598	732.6748177	50.74246214	167.3292403	241.3305826	152.0314729	223.9896183	105.0358486	12.29331483	19.52258167	644.9687114	45.51906788	137.3125012	247.0580717	150.1587067	40.8459815	NA	889.8203731	723.1743447	878.5777379	491.1676735	345.597264	278.1662065	415.1148453	32.195721	152.3990639	131.7085894	0	201.7973849	187.3474069	96.9675216	130.2577309	77.1968789	132.5682019	49.3259315	138.4258549	171.5649239	144.3504354
29A	273.3610435	445.8763168	216.4163609	934.4722026	252.539847	369.1266252	443.1279675	353.8288578	425.7870032	96.76153628	189.5040701	182.2748032	846.7660963	247.3164528	339.1098861	448.8554566	351.9560916	160.9514034	NA	1091.617758	924.9717296	1080.375123	692.9650584	547.3946489	479.9635914	213.3174604	169.6016639	49.398321	333.5059743	201.7973849	0	14.449978	298.7649065	71.539654	124.600506	69.229183	152.4714534	63.37153	30.232461	346.1478203
39A	258.9110655	431.4263388	201.9663829	920.0222246	238.089869	354.6766472	428.6779895	339.3788798	411.3370252	82.31155828	175.0540921	167.8248252	832.3161183	232.8664748	324.6599081	434.4054786	337.5061136	146.5014254	NA	1077.16778	910.5217516	1065.925145	678.5150804	532.9446709	465.5136134	227.7674384	155.1516859	34.948343	319.0559963	187.3474069	14.449978	0	284.3149285	57.089676	110.150528	54.779205	138.0214754	48.921552	15.782483	331.6978423
34A	25.40386301	147.1114103	82.34854562	635.7072961	46.22505946	70.36171866	144.363061	55.06395127	127.0220967	202.0033702	109.2608364	116.4901033	548.0011898	51.44845372	40.34497965	150.0905501	53.19118505	137.8135031	NA	792.8528515	626.2068231	781.6102163	394.2001519	248.6297424	181.1986849	512.0823669	129.1632426	249.3665855	34.7410678	96.9675216	298.7649065	284.3149285	0	227.2252525	174.1644005	229.5357235	146.2934531	235.3933765	268.5324455	47.3829138
27A	201.8213895	374.3366628	144.8767069	862.9325486	181.000193	297.5869712	371.5883135	282.2892038	354.2473492	25.22188228	117.9644161	110.7351492	775.2264423	175.7767988	267.5702321	377.3158026	280.4164376	89.4117494	NA	1020.078104	853.4320756	1008.835469	621.4254044	475.8549949	408.4239374	284.8571144	98.0620099	22.141333	261.9663203	130.2577309	71.539654	57.089676	227.2252525	0	53.060852	2.310471	80.9317994	8.168124	41.307193	274.6081663
36B	148.7605375	321.2758108	91.81585488	809.8716966	127.939341	244.5261192	318.5274615	229.2283518	301.1864972	27.83896972	64.90356407	57.67429723	722.1655903	122.7159468	214.5093801	324.2549506	227.3555856	36.3508974	NA	967.017252	800.3712236	955.7746168	568.3645524	422.7941429	355.3630854	337.9179664	45.0011579	75.202185	208.9054683	77.1968789	124.600506	110.150528	174.1644005	53.060852	0	55.371323	27.8709474	61.228976	94.368045	221.5473143
33E	204.1318605	376.6471338	147.1871779	865.2430196	183.310664	299.8974422	373.8987845	284.5996748	356.5578202	27.53235328	120.2748871	113.0456202	777.5369133	178.0872698	269.8807031	379.6262736	282.7269086	91.7222204	NA	1022.388575	855.7425466	1011.14594	623.7358754	478.1654659	410.7344084	282.5466434	100.3724809	19.830862	264.2767913	132.5682019	69.229183	54.779205	229.5357235	2.310471	55.371323	0	83.2422704	5.857653	38.996722	276.9186373
13A	120.8895901	293.4048634	63.94490748	782.0007492	100.0683936	216.6551718	290.6565141	201.3574044	273.3155498	55.70991712	37.03261667	29.80334983	694.2946429	94.84499938	186.6384327	296.3840032	199.4846382	8.479949997	NA	939.1463046	772.5002762	927.9036694	540.493605	394.9231955	327.492138	365.7889138	17.1302105	103.0731324	181.0345209	49.3259315	152.4714534	138.0214754	146.2934531	80.9317994	27.8709474	83.2422704	0	89.0999234	122.2389924	193.6763669
03A	209.9895135	382.5047868	153.0448309	871.1006726	189.168317	305.7550952	379.7564375	290.4573278	362.4154732	33.39000628	126.1325401	118.9032732	783.3945663	183.9449228	275.7383561	385.4839266	288.5845616	97.5798734	NA	1028.246228	861.6001996	1017.003593	629.5935284	484.0231189	416.5920614	276.6889904	106.2301339	13.973209	270.1344443	138.4258549	63.37153	48.921552	235.3933765	8.168124	61.228976	5.857653	89.0999234	0	33.139069	282.7762903
06A	243.1285825	415.6438558	186.1838999	904.2397416	222.307386	338.8941642	412.8955065	323.5963968	395.5545422	66.52907528	159.2716091	152.0423422	816.5336353	217.0839918	308.8774251	418.6229956	321.7236306	130.7189424	NA	1061.385297	894.7392686	1050.142662	662.7325974	517.1621879	449.7311304	243.5499214	139.3692029	19.16586	303.2735133	171.5649239	30.232461	15.782483	268.5324455	41.307193	94.368045	38.996722	122.2389924	33.139069	0	315.9153593
46A	72.78677681	99.72849653	129.7314594	588.3243823	93.60797326	22.97880486	96.98014724	7.681037475	79.6391829	249.386284	156.6437502	163.8730171	500.618276	98.83136752	7.037934154	102.7076363	5.808271253	185.1964169	NA	745.4699377	578.8239093	734.2273025	346.8172381	201.2468286	133.8157711	559.4652807	176.5461564	296.7494993	12.641846	144.3504354	346.1478203	331.6978423	47.3829138	274.6081663	221.5473143	276.9186373	193.6763669	282.7762903	315.9153593	0
